LidiaMALAKHOVA,4,2,0,-2,-1,-4,0,-3,0,0,0
EugeniaBUJAK,4,1,2,1,-1,-1,0,-1,-1,0,0
KalitovskaLESYA,2,0,0,1,0,0,1,0,0,2,2
FernandaPAZ,-5,-6,-3,0,0,0,0,0,0,0,0
AmyPIETERS,3,-2,-1,1,0,0,1,-2,0,-1,0
JessieDAAMS,-2,1,-1,-1,0,1,0,2,0,0,1
VaidaPIKAUSKAITE,-1,-1,-1,-2,-1,0,1,0,2,0,-1
JennieREED,4,1,0,0,0,0,0,0,-1,0,-1
MeiWU,-7,1,-1,2,1,0,-1,0,0,0,-1
KanakoKASE,-11,1,1,2,1,-1,-1,1,-1,0,0
JasminGLAESSER,4,1,-1,-1,-1,2,1,1,1,1,0
SarahKENT,-2,-1,1,1,0,1,0,0,0,0,-1
AhreumNA,-2,0,3,2,1,2,1,0,0,0,2
PascaleSCHNIDER,0,0,1,1,3,2,2,2,1,1,1
SOUZAFERNANDES,4,-2,-1,-4,-1,-1,0,2,0,0,0
CarolineRYAN,6,0,1,0,1,1,0,1,-1,-2,0
MadeleineSANDIG,1,1,0,-1,-2,-1,-2,0,0,0,-1
LucieZALESKA,-7,0,1,-1,-3,-1,0,-1,0,0,0
CiaraHORNE,4,3,1,1,0,2,0,0,0,-1,-1
AlisonSHANKS,-1,0,1,1,3,0,0,1,0,0,0
YiuWONG,0,0,1,0,0,0,0,0,0,0,0
